2,2A,3E,4A,3C#
2,2A,3E,4A,3C#
2,2C,,,
2,2C#,4B,,
2,2D,3D,3F#,3B
2,2D,3D,3F#,4A
1,2F,,,
1,2F#,,,
2,3A,,,
